X,Y,UNIQ_GIS_ID,PR_VERS_NUM,PR_NUM,PR_MP,FACL_ID,FACL_TYP_CD,FACL_ENTR_TYPE_CD,FACL_NAME,CRPL_PRMY_RTE_NAME,CRPL_LOT_LOC_NAME,CRPL_EXIT_NUM,CRPL_QUAD_CD,CRPL_DRTN_TXT,ENTR_SIGN_IND,USAGE_COND_YR,CRPL_LOT_CPCY,CRPL_LOT_USGE_QTY,AREA_LIT_DESC,SURF_TYP_DESC,CNTY_CD,FACL_PHYS_ADDR,CRPL_ENTR_PASER_COND_CD,CRPL_LOT_PASER_COND_CD
-85.5632009569999,42.2457919560001,294,17,6903,2.628,739004,CL,P,Kalamazoo/Portage - East,I-94,Portage Road/Kilgore Road,78,NW,"From eastbound I-94 take exit 78 and turn left/north onto Portage Road. Turn right/east onto Kilgore Road (north of I-94 overpass) and take a ""Michigan left"" onto westbound Kilgore Road. Lot is on the right/north.

From westbound I-94 take exit 78 and merge onto westbound Kilgore Road. Lot is on the right north (west of Portage Street intersection).",Yes,2019,72,33,Near,Paved,39,"1500 E. Kilgore Rd
Kalamazoo, Mi 49001",6,6
-85.643493802,42.198262716,295,17,10604,0.845,739003,CL,P,Portage,US-131,Centre Avenue,31,SE,"From southbound US-131 take exit 31 in Portage (3 miles south of I-94 exit 74).  Turn left/east onto Centre Avenue.  Turn right/south onto Angling Road (first road east of interchange).  Lot is first right/east.

From northbound US-131 take exit 31 in Portage.  Turn right/east onto Centre Avenue.  Turn right/south onto Angling Road (first road east of interchange).  Lot is first right/east.",Yes,2019,72,15,Yes,Paved,39,"8316 Angling Rd
Portage, Mi 49024",8,8
-85.6145492539999,42.239296966,296,17,13702,0.72,739001,CL,P,Kalamazoo/Portage - West,I-94,Oakland Avenue,75,NW,"From westbound I-94 take exit 75 at Kalamazoo.  Turn right/north onto Oakland Avenue.  Turn left/west onto Vincent Drive (first left/west).  Lot is first left/south.

From eastbound I-94 take exit 75 at Kalamazoo (1 mile east of US-131 exit 34).  Turn left/north onto Oakland Avenue.  Turn left/west onto Vincent Drive (first left/west past interchange).  Lot is first left/south.",Yes,2019,119,62,Yes,Paved,39,"2500 Vincent Dr
Portage, MI 49024",5,5
-85.6568670949999,42.267904663,297,17,22207,5.932,739005,CL,P,Kalamazoo - Stadium Drive,US - 131,Stadium Dr,36,SW,"From northbound US-131 take exit 36 and take the left lane to merge onto westbound Stadium Drive. Turn left/south at the intersection with 11th Street. Lot entrance is on left/east.

From southbound US-131 take exit 36 and take the right lane to merge onto westbound Stadium Drive. Turn left/south at the intersection with 11th Street. Lot entrance is on left/east.",Yes,2019,85,27,Yes,Paved,39,"5580 Stadium Dr
Kalamazoo, MI 49009
",10,10
-84.7325338049999,42.796633818,298,17,208306,5.623,519003,CL,P,Grand Ledge,I-96,M-100,86,NA,"From westbound I-96 take exit 86/M-100/Wright Road north of Grand Ledge.  Turn left/south onto M-100.  Turn left/east onto Grand River Avenue (first road south of interchange).  Lot is fifth left/north.

From eastbound I-96 take exit 86/M-100/Wright Road north of Grand Ledge.  Turn right/south onto M-100.  Turn left/east onto Grand River Avenue (first road south of interchange).  Lot is fifth left/north.

From northbound M-100 turn right/east onto Grand River Avenue about 3 miles north of Grand Ledge.  Lot is fifth left/north.",Yes,2019,40,11,Near,Paved,19,"10650 W Grand River Hwy
Eagle, Mi 48822",7,7
-84.670943634,42.7851693280001,299,17,208306,8.853,519004,CL,P,Lansing - Northwest,I-96,Grand River Avenue,90,NE,"From westbound I-96 (northbound I-69 stay on I-96) take exit 90/Business I-96/Grand River Avenue northwest of Lansing.  Turn left/west onto Grand River Avenue.  Lot is first right/north inside interchange.

From eastbound I-96 take exit 90/ Business I-96/Grand River Avenue northwest of Lansing.  Turn left/east.  Lot is first left/north inside interchange just past overpass.

From westbound I-69 take exit 81 to Francis Road (stay right) northwest of Lansing.  Turn left/south onto Francis Road.  Turn right/west onto Grand River Avenue (where Francis Road ends).  Lot is first right/north past I-96 on-ramp inside interchange.

From westbound Business I-96/Grand River Avenue lot is first right/north past I-96 on-ramp inside interchange northwest of Lansing.",Yes,2019,58,28,Yes,Paved,19,"7585 W Grand River Hwy, Watertown Twp, Mi 48906",4,6
-84.514078523,42.856608857,300,17,208403,16.787,519007,CL,P,DeWitt,US-127,Round Lake Road,86,SE,"From northbound US-127 take Round Lake Road (Exit 86).  Turn left/east onto Round Lake Road.  Lot is first right/south.  

From southbound US-127 take Round Lake Road (Exit 86).  Turn left/east onto Round Lake Road.  Lot is first right/south past interchange.",Yes,2019,39,10,No,Paved,19,"2377 E Round Lake Rd
Dewitt, Mi 48820",4,5
-84.522976786,43.001368529,301,17,208909,15.929,519005,CL,P,St. Johns,US-127,M-21,96,NW,"From northbound US-127 take M-21 (Exit 96) east of St. Johns.  Turn left/west onto M-21.  Lot is first right/north after southbound US-127 on-ramp.

From southbound US-127 take M-21 (Exit 96) east of St. Johns.  Turn right/west onto M-21.  Lot is first right/north.

From eastbound M-21 in St. Johns lot is last left/north before southbound US-127 on-ramp at US-127 interchange east of town.

From westbound M-21 lot is first right/north west of southbound US-127 on-ramp at interchange east of St. Johns (8 miles west of Ovid).",Yes,2019,89,27,No,Paved,19,"1980 M-21
St Johns, Mi 48879",3,3
-84.5239388,42.929994133,303,17,213910,0.082,519006,CL,P,St. Johns - South,US-127,Price Road,91,NW,"From northbound US-127 take Price Road (Exit 91) north of DeWitt.  Turn left/west onto Price Road.  Lot is first right/north past southbound US-127 on-ramp.

From southbound US-127 take Price road (Exit 91) south of St. Johns.  Turn right/west onto Price Road.  Lot is first right/north.",Yes,2019,108,10,No,Paved,19,"5900 S Williams Rd
St Johns, Mi 48879",3,3
-86.379569835,43.956221064,304,17,216003,3.622,553001,CL,P,Ludington,US-10/US-31,Brye Rd,,NW,"From westbound US-10, take right/north at Brye Rd.  Lot is first left/west.

From US-31, take left/north at Brye Rd.  Lot is first left/west",Yes,2019,30,7,Near,Paved,53,"53 N Brye Rd
Ludington, Mi 49431",7,7
